Year,Crevalle jack,Red drum,Spotted seatrout
1980,0.751748571,0.817622235,1.028429446
1981,0.740832992,0.810907288,1.18593945
1982,0.846954614,0.695282153,1.30073622
1983,0.706928568,0.916447777,1.275481618
1984,0.648595912,0.890327117,1.326766536
1985,0.578993147,0.682279788,1.155898834
1986,0.620670175,0.580533703,1.337065257
1987,0.61774367,0.511515297,1.172588952
1988,0.682331044,0.45236533,1.094539756
1989,0.749279986,0.452767712,1.200428797
1990,0.831627056,0.471442362,1.406748583
1991,1.01546677,0.56128619,1.394476451
1992,0.850715006,0.555471592,1.368244691
1993,0.672399069,0.499509705,1.119814568
1994,0.577888332,0.46337369899999997,1.124845429
1995,0.715736977,0.487110139,1.114255638
1996,0.576357074,0.48489334,1.203268705
1997,0.702094848,0.457691255,1.446394617
1998,0.624102912,0.466880686,1.110565199
1999,0.743583961,0.464471689,1.300154109
2000,0.777197354,0.443658358,1.42362527
2001,0.635386358,0.438345676,1.165440736
2002,0.605343325,0.374190915,0.981038752
2003,0.581493036,0.436978978,0.886292506
2004,0.606838151,0.412626642,0.96433803
2005,0.553293121,0.381198138,1.061231908
2006,0.603064672,0.422811326,1.045867461
2007,0.643992934,0.429708369,0.818211473
2008,0.625579981,0.377783475,0.812063867
2009,0.606945964,0.391681824,0.801914756
2010,0.581471552,0.748171188,0.866833868
2011,0.650456633,0.893804521,0.987934165
2012,0.744237454,0.690663718,1.19585792
2013,0.82318582,0.460544634,0.922233026
2014,0.608699709,0.418151754,0.839914497
2015,0.537346946,0.37516852,0.825406503
2016,0.582747701,0.33197872,0.913315704
2017,0.587014733,0.344613271,0.979951774
