site,species,abund,hur,period
Apalachicola_Bay,Anchoa hepsetus,437,HERMINE,Before
Apalachicola_Bay,Anchoa lyolepis,10,HERMINE,Before
Apalachicola_Bay,Anchoa mitchilli,4967,HERMINE,Before
Apalachicola_Bay,Ariopsis felis,31,HERMINE,Before
Apalachicola_Bay,Bagre marinus,2,HERMINE,Before
Apalachicola_Bay,Ctenogobius boleosoma,12,HERMINE,Before
Apalachicola_Bay,Gobionellus oceanicus,13,HERMINE,Before
Apalachicola_Bay,Hypanus sabinus,4,HERMINE,Before
Apalachicola_Bay,Orthopristis chrysoptera,205,HERMINE,Before
Apalachicola_Bay,Sphoeroides nephelus,4,HERMINE,Before
Apalachicola_Bay,Syngnathus scovelli,2,HERMINE,Before
Apalachicola_Bay,Synodus foetens,27,HERMINE,Before
Apalachicola_Bay,Anchoa hepsetus,12,HERMINE,Before
Apalachicola_Bay,Anchoa lyolepis,1,HERMINE,Before
Apalachicola_Bay,Anchoa mitchilli,28746,HERMINE,Before
Apalachicola_Bay,Ariopsis felis,14,HERMINE,Before
Apalachicola_Bay,Bagre marinus,1,HERMINE,Before
Apalachicola_Bay,Centropristis striata,3,HERMINE,Before
Apalachicola_Bay,Ctenogobius boleosoma,2,HERMINE,Before
Apalachicola_Bay,Hypanus sabinus,5,HERMINE,Before
Apalachicola_Bay,Orthopristis chrysoptera,7,HERMINE,Before
Apalachicola_Bay,Sphoeroides nephelus,2,HERMINE,Before
Apalachicola_Bay,Syngnathus scovelli,2,HERMINE,Before
Apalachicola_Bay,Synodus foetens,25,HERMINE,Before
Apalachicola_Bay,Anchoa hepsetus,638,HERMINE,Before
Apalachicola_Bay,Anchoa mitchilli,8896,HERMINE,Before
Apalachicola_Bay,Ariopsis felis,17,HERMINE,Before
Apalachicola_Bay,Centropristis striata,1,HERMINE,Before
Apalachicola_Bay,Chloroscombrus chrysurus,14,HERMINE,Before
Apalachicola_Bay,Ctenogobius boleosoma,3,HERMINE,Before
Apalachicola_Bay,Hypanus sabinus,12,HERMINE,Before
Apalachicola_Bay,Orthopristis chrysoptera,51,HERMINE,Before
Apalachicola_Bay,Sphoeroides nephelus,1,HERMINE,Before
Apalachicola_Bay,Syngnathus scovelli,2,HERMINE,Before
Apalachicola_Bay,Synodus foetens,7,HERMINE,Before
Apalachicola_Bay,Anchoa hepsetus,52,HERMINE,After
Apalachicola_Bay,Anchoa lyolepis,1,HERMINE,After
Apalachicola_Bay,Anchoa mitchilli,27454,HERMINE,After
Apalachicola_Bay,Ariopsis felis,134,HERMINE,After
Apalachicola_Bay,Centropristis striata,2,HERMINE,After
Apalachicola_Bay,Chloroscombrus chrysurus,58,HERMINE,After
Apalachicola_Bay,Ctenogobius boleosoma,6,HERMINE,After
Apalachicola_Bay,Gobionellus oceanicus,1,HERMINE,After
Apalachicola_Bay,Gobiosoma robustum,1,HERMINE,After
Apalachicola_Bay,Hypanus sabinus,7,HERMINE,After
Apalachicola_Bay,Orthopristis chrysoptera,78,HERMINE,After
Apalachicola_Bay,Synodus foetens,22,HERMINE,After
Apalachicola_Bay,Anchoa hepsetus,15,HERMINE,After
Apalachicola_Bay,Anchoa lyolepis,3,HERMINE,After
Apalachicola_Bay,Anchoa mitchilli,18059,HERMINE,After
Apalachicola_Bay,Ariopsis felis,178,HERMINE,After
Apalachicola_Bay,Bagre marinus,3,HERMINE,After
Apalachicola_Bay,Chloroscombrus chrysurus,4,HERMINE,After
Apalachicola_Bay,Ctenogobius boleosoma,72,HERMINE,After
Apalachicola_Bay,Gobionellus oceanicus,1,HERMINE,After
Apalachicola_Bay,Hypanus sabinus,20,HERMINE,After
Apalachicola_Bay,Orthopristis chrysoptera,26,HERMINE,After
Apalachicola_Bay,Synodus foetens,11,HERMINE,After
Apalachicola_Bay,Anchoa mitchilli,11346,HERMINE,After
Apalachicola_Bay,Ariopsis felis,7,HERMINE,After
Apalachicola_Bay,Centropristis striata,5,HERMINE,After
Apalachicola_Bay,Ctenogobius boleosoma,12,HERMINE,After
Apalachicola_Bay,Gobionellus oceanicus,1,HERMINE,After
Apalachicola_Bay,Hypanus sabinus,26,HERMINE,After
Apalachicola_Bay,Orthopristis chrysoptera,111,HERMINE,After
Apalachicola_Bay,Sphoeroides nephelus,2,HERMINE,After
Apalachicola_Bay,Syngnathus scovelli,2,HERMINE,After
Apalachicola_Bay,Synodus foetens,4,HERMINE,After
