species,project,Class,Order,trophic_level,temp_preference,generation_time
Ameiurus catus,HERS,Actinopterygii,Siluriformes,3.2,15.5,4.5
Anchoa hepsetus,HERS,Actinopterygii,Clupeiformes,3.44,24.4,1.361167
Anchoa lyolepis,HERS,Actinopterygii,Clupeiformes,3.4,24.9,1.111071
Anchoa mitchilli,HERS,Actinopterygii,Clupeiformes,3.46,24,1.893027
Archosargus probatocephalus,HERS,Actinopterygii,Perciformes,3.53,25.9,2.340293
Ariopsis felis,HERS,Actinopterygii,Siluriformes,3.67,26.4,5.860916
Bagre marinus,HERS,Actinopterygii,Siluriformes,3.51,24.9,5.860366
Bairdiella chrysoura,HERS,Actinopterygii,Perciformes,3.59,18.90741667,1.095709
Brevoortia patronus,HERS,Actinopterygii,Clupeiformes,2.19,24.3,1.864508
Brevoortia tyrannus,HERS,Actinopterygii,Clupeiformes,3.23,13.2,2.100592
Centropristis striata,HERS,Actinopterygii,Perciformes,3.89,23.6,2.124453
Chaetodipterus faber,HERS,Actinopterygii,Perciformes,3.58,25.4,4.686341
Chilomycterus schoepfii,HERS,Actinopterygii,Tetraodontiformes,3.5,26.9,2.141989243
Chloroscombrus chrysurus,HERS,Actinopterygii,Perciformes,3.54,26.2,1.217703
Citharichthys spilopterus,HERS,Actinopterygii,Pleuronectiformes,3.57,25.5,2.500196
Ctenogobius boleosoma,HERS,Actinopterygii,Gobiiformes,3.25,27.1,NA
Cynoscion arenarius,HERS,Actinopterygii,Perciformes,4.17,24.8,2.677107
Cynoscion nebulosus,HERS,Actinopterygii,Perciformes,3.98,24.3,6.693734
Cynoscion regalis,HERS,Actinopterygii,Perciformes,3.77,12.7,3.824131
Dorosoma petenense,HERS,Actinopterygii,Clupeiformes,2.76,25.5,2.236601
Etropus crossotus,HERS,Actinopterygii,Pleuronectiformes,3.49,25.7,0.5611027
Etropus microstomus,HERS,Actinopterygii,Pleuronectiformes,3.41,24.1,0.9729059
Eucinostomus argenteus,HERS,Actinopterygii,Perciformes,3.24,27,2.119553
Eucinostomus gula,HERS,Actinopterygii,Perciformes,2.68,25.5,3.09022
Gobionellus oceanicus,HERS,Actinopterygii,Perciformes,3.45,27.2,2.504787
Gobiosoma robustum,HERS,Actinopterygii,Perciformes,3.2,23.14879529,1.511052
Hypanus sabinus,HERS,Elasmobranchii,Myliobatiformes,3.45,25.5,5.098680936
Lagodon rhomboides,HERS,Actinopterygii,Perciformes,3.4,24.3,2.533695
Leiostomus xanthurus,HERS,Actinopterygii,Perciformes,3.23,24,1.89611
Menidia menidia,HERS,Actinopterygii,Atheriniformes,3.19,8.8,0.8562636
Menticirrhus americanus,HERS,Actinopterygii,Perciformes,3.4,24.4,3.155913
Micropogonias undulatus,HERS,Actinopterygii,Perciformes,4,24.1,2.329
Ogcocephalus cubifrons,HERS,Actinopterygii,Lophiiformes,3.51,25,6.780842
Ogcocephalus nasutus,HERS,Actinopterygii,Lophiiformes,3.54,23.5,6.780842
Ogcocephalus radiatus,HERS,Actinopterygii,Lophiiformes,3.51,26.4,6.780842
Opsanus beta,HERS,Actinopterygii,Batrachoidiformes,3.63,24.6,3.590905
Orthopristis chrysoptera,HERS,Actinopterygii,Perciformes,3.58,24.4,4.181574
Paralichthys albigutta,HERS,Actinopterygii,Pleuronectiformes,4.26,24.2,3.67922
Paralichthys dentatus,HERS,Actinopterygii,Pleuronectiformes,4.49,19.1,4.18495
Paralichthys lethostigma,HERS,Actinopterygii,Pleuronectiformes,3.48,23.9,3.773278
Peprilus burti,HERS,Actinopterygii,Perciformes,4,18.1,0.4556094
Pogonias cromis,HERS,Actinopterygii,Perciformes,3.38,23.5,4.873363
Prionotus carolinus,HERS,Actinopterygii,Scorpaeniformes,3.68,18.9,2.743016
Prionotus scitulus,HERS,Actinopterygii,Scorpaeniformes,3.39,24.1,2.275827
Prionotus tribulus,HERS,Actinopterygii,Scorpaeniformes,3.66,24.1,3.242638
Sphoeroides maculatus,HERS,Actinopterygii,Tetraodontiformes,4.04,9.3,1.524162
